ID,Link,ds,Latitude,Longitude
401156,81832,86.6,37.826968,-122.29226499999999
403280,81832,64.32,37.827864,-122.26700000000001
407745,81832,39.68,37.825278000000004,-122.30641999999999
401435,81832,37.35,37.825581,-122.30279399999999
403279,81832,64.32,37.827864,-122.26700000000001
407257,81839,94.21,37.864887,-122.30301999999999
400432,81839,94.21,37.864887,-122.30301999999999
404384,81847,71.49,37.843252,-122.254814
404386,81847,42.72,37.843394,-122.255381
402480,81847,71.14,37.842559,-122.25791000000001
402202,81847,71.49,37.843252,-122.254814
408094,81854,7.09,37.662265999999995,-122.40126299999999
408235,81854,7.09,37.662265999999995,-122.40126299999999
402390,81854,75.57,37.662818,-122.40041799999999
401516,91336,64.17,37.760031,-122.40623300000001
