,ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes,Name,User_ID_1,User_ID_2,User_ID_3,User_ID_4,Date
35,400069,101,S,4,85,69084.0,42.77,392.443,37.385758,-121.977493,0.36,ML,4,Great America Pkwy rm-s-diag,DT084,L4-S-37-101-04277,998175,424570,2015_01_10
36,400071,92,W,4,81,25338.0,13.93,14.656,37.567395,-122.26939,2.78,ML,3,2700' E of Foster City Blvd.,DT037,L3-W-35-092-01393,092150,418896,2015_01_10
37,400073,17,S,4,85,44112.0,9.4,21.953,37.2563,-121.955559,0.465,ML,2,NB 85 rm-s-loop/conn,DT257,L2-S-37-017-00940,998015,417549,2015_01_10
38,400074,80,W,4,95,81666.0,3.4,30.872,38.108307,-122.22977,0.575,ML,3,Tennessee St.(east) off ramp,DT060,L3-W-23-080-00340,999074,421467,2015_01_10
39,400075,580,E,4,1,53000.0,45.56,61.493,37.82576,-122.275143,1.089,ML,6,West St off ramp,DT342,L6-E-33-580-04556,580262,423506,2015_01_10
40,400078,680,N,4,13,83346.0,15.39,46.882,37.913307,-122.066752,0.465,ML,6,N Main St off-n-loop,DT546,L6-N-28-680-01539,680275,423530,2015_01_10
41,400079,80,W,4,13,60620.0,.51,13.843,37.904377,-122.313309,0.235,ML,4,W of Panama Ave,DT111,L4-W-28-080-00051,801160,419658,2015_01_10
42,400082,80,E,4,13,60620.0,6.27,19.603,37.980187,-122.317007,0.185,ML,4,1000' W of Richmond Pkwy,DT169,L4-E-28-080-00627,080003,420216,2015_01_10
43,400083,24,W,4,1,53000.0,2.89,1.043,37.839128,-122.264826,0.36,ML,4,SHATTUCK AVE/ 55TH ST,DT069,L4-W-33-024-00289,324105,424402,2015_01_10
44,400084,280,S,4,85,17610.0,8.22,9.602,37.329258,-122.012053,0.665,ML,4,Wolfe Rd rm-s-loop,DT910,L4-S-37-280-00822,998263,419412,2015_01_10
45,400085,85,S,4,85,68000.0,6.1,6.1,37.255594,-121.87471,0.495,ML,3,ALMADEN EXPWY,DT489,L3-S-37-085-00610,998055,421232,2015_01_10
46,400088,880,N,4,85,47766.0,7.65,7.65,37.414988,-121.912685,0.475,ML,4,Great Mall Pkwy rm-n-loop,DT065,L4-N-37-880-00765,998325,421022,2015_01_10
47,400090,680,N,4,13,17988.0,7.3,38.673,37.819445,-121.993177,0.32,ML,5,2000' N OF Sycamore Valley Rd,DT255,L5-N-28-680-00730,999319,423420,2015_01_10
48,400091,880,S,4,1,68084.0,22.5,32.727,37.70723,-122.162087,0.295,ML,5,200' N of Fairway/Aladdin Dr,DT401,L5-S-33-880-02250,881248,426812,2015_01_10
49,400093,880,S,4,1,53000.0,R33.8,44.027,37.811953,-122.303779,0.725,ML,4,1400' N of 7th St,DT630,L4-S-33-880-03380,999344,422026,2015_01_10
50,400094,880,N,4,1,53000.0,28.88,39.107,37.776769,-122.236107,0.225,ML,4,23th Ave/Kennedy St rm-s-loop,DTA39,L4-N-33-880-02888,998482,424816,2015_01_10
51,400095,80,W,4,13,60620.0,.23,13.563,37.900816,-122.310886,0.268,ML,4,Central Ave rm-w-diag,DT461,L4-W-28-080-00023,080158,419646,2015_01_10
52,400096,237,W,4,85,69084.0,6.18,6.237,37.418049,-121.972381,0.543,ML,3,Great American Pkwy,DT852,L3-W-37-237-00618,998246,418926,2015_01_10
53,400097,85,S,4,85,70280.0,13.93,14.106,37.279012,-122.010614,0.755,ML,3,Saratoga Ave  rm-n-diag,DT595,L3-S-37-085-01393,998084,421277,2015_01_10
