trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum,in_Zone
2499025,7618,2188,312378,work,1,TRUE,1,work,47,42,NA,18,WALK,-0.9705407678065526,TRUE
2499029,7618,2188,312378,work,1,FALSE,1,Home,42,47,NA,21,WALK,-0.9705407678065526,TRUE
2499281,7619,2188,312410,school,1,TRUE,2,social,44,42,6.127883773177513,8,WALK,-1.1187929049262215,TRUE
2499282,7619,2188,312410,school,2,TRUE,2,school,36,44,NA,8,WALK,-0.9084486841409554,TRUE
2499285,7619,2188,312410,school,1,FALSE,1,Home,42,36,NA,19,WALK,-0.7458925025463053,TRUE
3786177,11543,3410,473272,escort,1,TRUE,1,escort,65,52,NA,8,SHARED2FREE,0.7645413269256475,TRUE
3786181,11543,3410,473272,escort,1,FALSE,4,othdiscr,36,65,14.137109742588063,8,SHARED2FREE,0.7455542834832175,TRUE
3786182,11543,3410,473272,escort,2,FALSE,4,shopping,64,36,12.772758949784668,8,SHARED2FREE,0.7551244223223896,TRUE
3786183,11543,3410,473272,escort,3,FALSE,4,eatout,39,64,13.237821996180175,8,DRIVEALONEFREE,0.6277585560430197,TRUE
3786184,11543,3410,473272,escort,4,FALSE,4,Home,52,39,NA,8,DRIVEALONEFREE,0.7414333430097412,TRUE
3786153,11543,3410,473269,eatout,1,TRUE,1,eatout,64,52,NA,9,SHARED3FREE,2.493856515884691,TRUE
3786157,11543,3410,473269,eatout,1,FALSE,1,Home,52,64,NA,11,SHARED3FREE,2.4946921002012634,TRUE
3786185,11543,3410,473273,escort,1,TRUE,1,escort,35,52,NA,12,SHARED2FREE,1.9399167944874811,TRUE
3786189,11543,3410,473273,escort,1,FALSE,1,Home,52,35,NA,13,SHARED3FREE,1.9399167944874811,TRUE
3786633,11544,3410,473329,othdiscr,1,TRUE,4,eatout,70,52,17.740868279933864,11,SHARED3FREE,1.7666581693156271,TRUE
3786634,11544,3410,473329,othdiscr,2,TRUE,4,shopping,79,70,17.20257652366984,12,SHARED3FREE,1.8844242706979957,TRUE
3786635,11544,3410,473329,othdiscr,3,TRUE,4,escort,66,79,18.662770278298837,13,SHARED3FREE,1.8929329648713018,TRUE
3786636,11544,3410,473329,othdiscr,4,TRUE,4,othdiscr,69,66,NA,15,SHARED3FREE,1.9607286629054166,TRUE
3786637,11544,3410,473329,othdiscr,1,FALSE,1,Home,52,69,NA,16,SHARED3FREE,1.8594867498378878,TRUE
3787337,11546,3410,473417,school,1,TRUE,1,school,65,52,NA,8,WALK,-3.8583941850854115,TRUE
3787341,11546,3410,473417,school,1,FALSE,1,Home,52,65,NA,18,WALK,-3.85839198746757,TRUE
3787617,11547,3410,473452,othdiscr,1,TRUE,2,othdiscr,79,52,18.19744803374935,9,SHARED3FREE,1.7993288162875685,TRUE
3787618,11547,3410,473452,othdiscr,2,TRUE,2,othdiscr,74,79,NA,9,SHARED3FREE,1.91171301911061,TRUE
3787621,11547,3410,473452,othdiscr,1,FALSE,1,Home,52,74,NA,16,SHARED3FREE,1.9632924586859741,TRUE
3787993,11548,3410,473499,school,1,TRUE,1,school,63,52,NA,8,SHARED3FREE,-0.6196342897757553,TRUE
3787997,11548,3410,473499,school,1,FALSE,1,Home,52,63,NA,15,WALK,-0.6188154759907976,TRUE
3788385,11549,3410,473548,work,1,TRUE,1,work,310,52,NA,7,DRIVEALONEFREE,-2.1877223355437185,TRUE
3788389,11549,3410,473548,work,1,FALSE,1,Home,52,310,NA,16,DRIVEALONEFREE,-2.1354570922860683,TRUE
4801905,14639,4399,600238,work,1,TRUE,2,escort,147,54,7.635915395619123,5,DRIVEALONEFREE,-0.7256192856501557,TRUE
4801906,14639,4399,600238,work,2,TRUE,2,work,372,147,NA,6,DRIVEALONEFREE,-0.5817884419261317,TRUE
4801909,14639,4399,600238,work,1,FALSE,1,Home,54,372,NA,18,DRIVEALONEFREE,-1.1073549740551007,TRUE
4802145,14640,4399,600268,othmaint,1,TRUE,1,othmaint,69,54,NA,8,SHARED2FREE,1.3723147391374693,TRUE
4802149,14640,4399,600268,othmaint,1,FALSE,1,Home,54,69,NA,10,SHARED2FREE,1.372326963516974,TRUE
4802865,14642,4399,600358,social,1,TRUE,2,shopping,34,54,18.359555610496525,11,SHARED3FREE,2.2428594221605356,TRUE
4802866,14642,4399,600358,social,2,TRUE,2,social,83,34,NA,12,SHARED3FREE,2.1253872814114425,TRUE
4802869,14642,4399,600358,social,1,FALSE,1,Home,54,83,NA,13,SHARED3FREE,2.1706562546357135,TRUE
4802801,14642,4399,600350,othmaint,1,TRUE,1,othmaint,287,54,NA,15,SHARED3FREE,1.538464720234295,TRUE
4802825,14642,4399,600353,univ,1,TRUE,1,univ,378,54,NA,15,DRIVEALONEFREE,-1.6203934936197082,TRUE
4802829,14642,4399,600353,univ,1,FALSE,1,Home,54,378,NA,15,DRIVEALONEFREE,-1.595001649542209,TRUE
4802777,14642,4399,600347,othdiscr,1,TRUE,1,othdiscr,77,54,NA,19,DRIVEALONEFREE,0.3904346845884117,TRUE
4802805,14642,4399,600350,othmaint,1,FALSE,1,Home,54,287,NA,19,SHARED3FREE,1.5132655568021214,TRUE
4802781,14642,4399,600347,othdiscr,1,FALSE,1,Home,54,77,NA,22,DRIVEALONEFREE,0.390718840169781,TRUE
4803153,14643,4399,600394,school,1,TRUE,1,school,76,54,NA,7,WALK,-1.517497288451385,TRUE
4803157,14643,4399,600394,school,1,FALSE,1,Home,54,76,NA,17,WALK,-1.5173198877803664,TRUE
4803105,14643,4399,600388,othdiscr,1,TRUE,1,othdiscr,65,54,NA,19,SHARED3FREE,2.0094156744222267,TRUE
4803109,14643,4399,600388,othdiscr,1,FALSE,1,Home,54,65,NA,20,SHARED3FREE,2.0096944362398834,TRUE
4803481,14644,4399,600435,school,1,TRUE,1,school,79,54,NA,8,SHARED2FREE,-1.5814931961652208,TRUE
4803485,14644,4399,600435,school,1,FALSE,1,Home,54,79,NA,17,SHARED2FREE,-1.5814931961652208,TRUE
6076841,18526,5589,759605,work,1,TRUE,1,work,322,70,NA,6,DRIVEALONEFREE,-3.9107899991522856,TRUE
6076561,18526,5589,759570,atwork,1,TRUE,1,atwork,327,322,NA,13,DRIVEALONEFREE,-0.03330745767169659,TRUE
6076565,18526,5589,759570,atwork,1,FALSE,1,Work,322,327,NA,13,DRIVEALONEFREE,-0.03330745767169659,TRUE
6076845,18526,5589,759605,work,1,FALSE,1,Home,70,322,NA,16,DRIVEALONEFREE,-3.8788116914501627,TRUE
6077169,18527,5589,759646,work,1,TRUE,1,work,32,70,NA,6,DRIVEALONEFREE,-0.5428618391683387,TRUE
